"WORDCOUNTS","WEIGHT"
"the",318
"and",94
"that",72
"for",33
"are",32
"not",32
"her",25
"would",23
"but",22
"one",21
"novel",20
"this",20
"from",19
"critical",18
"its",18
"with",18
"criticism",18
"book",16
"have",16
"she",16
"ruth",16
"has",15
"new",15
"reviewing",15
"more",14
"literary",14
"all",13
"critics",13
"like",13
"decline",13
"his",12
"narrative",12
"they",12
"toller",12
"into",11
"out",11
"when",11
"which",11
"historical",11
"been",10
"had",10
"just",10
"own",10
"australian",9
"need",9
"novels",9
"read",9
"their",9
"what",9
"can",8
"such",8
"two",8
"was",8
"you",8
"funder",8
"because",7
"between",7
"does",7
"there",7
"writing",7
"voices",7
"review",7
"firstperson",7
"against",6
"another",6
"history",6
"made",6
"most",6
"readers",6
"seems",6
"some",6
"something",6
"than",6
"them",6
"were",6
"will",6
"call",6
"though",6
"true",6
"authors",6
"publishing",6
"reviews",6
"york",6
"print",6
"funders",6
"judgement",6
"age",5
"australia",5
"being",5
"cannot",5
"characters",5
"first",5
"might",5
"our",5
"present",5
"think",5
"times",5
"yet",5
"public",5
"enough",5
"perhaps",5
"sense",5
"should",5
"mind",5
"reading",5
"taste",5
"pages",5
"exile",5
"dora",5
"online",5
"polemic",5
"also",4
"certainly",4
"find",4
"however",4
"left",4
"may",4
"now",4
"scene",4
"see",4
"these",4
"those",4
"turns",4
"work",4
"your",4
"right",4
"books",4
"case",4
"context",4
"industry",4
"make",4
"piece",4
"seem",4
"story",4
"srbdivider",4
"merits",4
"exactly",4
"poor",4
"watch",4
"aesthetic",4
"nazi",4
"reception",4
"genre",4
"praise",4
"sections",4
"somewhat",4
"consciousnesses",4
"doras",4
"any",3
"both",3
"came",3
"character",3
"different",3
"effect",3
"end",3
"ethics",3
"given",3
"many",3
"much",3
"often",3
"then",3
"too",3
"under",3
"well",3
"west",3
"who",3
"wonder",3
"becker",3
"garner",3
"ley",3
"real",3
"thoughts",3
"comments",3
"consciousness",3
"defend",3
"great",3
"lack",3
"later",3
"literature",3
"news",3
"part",3
"point",3
"prompted",3
"rather",3
"role",3
"same",3
"themselves",3
"understanding",3
"university",3
"why",3
"writers",3
"capacity",3
"field",3
"last",3
"period",3
"upon",3
"using",3
"calls",3
"critic",3
"debate",3
